Permission,Role,Role Type
accesscontextmanager.accessLevels.list,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.accessLevels.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.accessLevels.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.accessLevels.replaceAll,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.replaceAll,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.replaceAll,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.replaceAll,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessLevels.update,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.update,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.update,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.update,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.create,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.create,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.create,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.create,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.delete,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.delete,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.delete,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.delete,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.get,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.get,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessPolicies.get,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.get,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.get,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessPolicies.getIamPolicy,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.getIamPolicy,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.getIamPolicy,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessPolicies.getIamPolicy,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.getIamPolicy,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.getIamPolicy,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessPolicies.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.accessPolicies.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.accessPolicies.list,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.list,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessPolicies.list,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.list,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessPolicies.list,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessPolicies.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.accessPolicies.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.accessPolicies.setIamPolicy,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.setIamPolicy,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.accessPolicies.update,Owner (roles/owner),Basics Role
accesscontextmanager.accessPolicies.update,Editor (roles/editor),Basics Role
accesscontextmanager.accessPolicies.update,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessPolicies.update,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessZones.create,Owner (roles/owner),Basics Role
accesscontextmanager.accessZones.create,Editor (roles/editor),Basics Role
accesscontextmanager.accessZones.create,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessZones.create,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessZones.delete,Owner (roles/owner),Basics Role
accesscontextmanager.accessZones.delete,Editor (roles/editor),Basics Role
accesscontextmanager.accessZones.delete,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessZones.delete,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessZones.get,Owner (roles/owner),Basics Role
accesscontextmanager.accessZones.get,Editor (roles/editor),Basics Role
accesscontextmanager.accessZones.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessZones.get,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessZones.get,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessZones.get,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessZones.list,Owner (roles/owner),Basics Role
accesscontextmanager.accessZones.list,Editor (roles/editor),Basics Role
accesscontextmanager.accessZones.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessZones.list,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessZones.list,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessZones.list,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessZones.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.accessZones.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.accessZones.update,Owner (roles/owner),Basics Role
accesscontextmanager.accessZones.update,Editor (roles/editor),Basics Role
accesscontextmanager.accessZones.update,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessZones.update,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.gcpUserAccessBindings.create,Owner (roles/owner),Basics Role
accesscontextmanager.gcpUserAccessBindings.create,Editor (roles/editor),Basics Role
accesscontextmanager.gcpUserAccessBindings.create,Cloud Access Binding Admin (roles/accesscontextmanager.gcpAccessAdmin),Predefined Role
accesscontextmanager.gcpUserAccessBindings.delete,Owner (roles/owner),Basics Role
accesscontextmanager.gcpUserAccessBindings.delete,Editor (roles/editor),Basics Role
accesscontextmanager.gcpUserAccessBindings.delete,Cloud Access Binding Admin (roles/accesscontextmanager.gcpAccessAdmin),Predefined Role
accesscontextmanager.gcpUserAccessBindings.get,Owner (roles/owner),Basics Role
accesscontextmanager.gcpUserAccessBindings.get,Editor (roles/editor),Basics Role
accesscontextmanager.gcpUserAccessBindings.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.gcpUserAccessBindings.get,Cloud Access Binding Admin (roles/accesscontextmanager.gcpAccessAdmin),Predefined Role
accesscontextmanager.gcpUserAccessBindings.get,Cloud Access Binding Reader (roles/accesscontextmanager.gcpAccessReader),Predefined Role
accesscontextmanager.gcpUserAccessBindings.list,Owner (roles/owner),Basics Role
accesscontextmanager.gcpUserAccessBindings.list,Editor (roles/editor),Basics Role
accesscontextmanager.gcpUserAccessBindings.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.gcpUserAccessBindings.list,Cloud Access Binding Admin (roles/accesscontextmanager.gcpAccessAdmin),Predefined Role
accesscontextmanager.gcpUserAccessBindings.list,Cloud Access Binding Reader (roles/accesscontextmanager.gcpAccessReader),Predefined Role
accesscontextmanager.gcpUserAccessBindings.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.gcpUserAccessBindings.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.gcpUserAccessBindings.update,Owner (roles/owner),Basics Role
accesscontextmanager.gcpUserAccessBindings.update,Editor (roles/editor),Basics Role
accesscontextmanager.gcpUserAccessBindings.update,Cloud Access Binding Admin (roles/accesscontextmanager.gcpAccessAdmin),Predefined Role
accesscontextmanager.policies.create,Owner (roles/owner),Basics Role
accesscontextmanager.policies.create,Editor (roles/editor),Basics Role
accesscontextmanager.policies.create,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.create,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.policies.delete,Owner (roles/owner),Basics Role
accesscontextmanager.policies.delete,Editor (roles/editor),Basics Role
accesscontextmanager.policies.delete,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.delete,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.policies.get,Owner (roles/owner),Basics Role
accesscontextmanager.policies.get,Editor (roles/editor),Basics Role
accesscontextmanager.policies.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.policies.get,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.get,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.policies.get,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.policies.get,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.policies.getIamPolicy,Owner (roles/owner),Basics Role
accesscontextmanager.policies.getIamPolicy,Editor (roles/editor),Basics Role
accesscontextmanager.policies.getIamPolicy,Viewer (roles/viewer),Basics Role
accesscontextmanager.policies.getIamPolicy,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.getIamPolicy,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.policies.getIamPolicy,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.policies.getIamPolicy,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.policies.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.policies.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.policies.list,Owner (roles/owner),Basics Role
accesscontextmanager.policies.list,Editor (roles/editor),Basics Role
accesscontextmanager.policies.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.policies.list,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.list,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.policies.list,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.policies.list,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.policies.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.policies.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.policies.setIamPolicy,Owner (roles/owner),Basics Role
accesscontextmanager.policies.setIamPolicy,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.policies.update,Owner (roles/owner),Basics Role
accesscontextmanager.policies.update,Editor (roles/editor),Basics Role
accesscontextmanager.policies.update,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.policies.update,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.commit,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.commit,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.commit,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.commit,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.create,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.create,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.create,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.create,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.delete,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.delete,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.delete,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.delete,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.get,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.get,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.servicePerimeters.get,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.get,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.get,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.servicePerimeters.get,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.servicePerimeters.get,SLZ BQDW Blueprint Organization Level Remediator (roles/securedlandingzone.bqdwOrgRemediator),Predefined Role
accesscontextmanager.servicePerimeters.list,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.list,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.servicePerimeters.list,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.list,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.list,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.servicePerimeters.list,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.servicePerimeters.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accesscontextmanager.servicePerimeters.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accesscontextmanager.servicePerimeters.list,SLZ BQDW Blueprint Organization Level Remediator (roles/securedlandingzone.bqdwOrgRemediator),Predefined Role
accesscontextmanager.servicePerimeters.replaceAll,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.replaceAll,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.replaceAll,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.replaceAll,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.update,Owner (roles/owner),Basics Role
accesscontextmanager.servicePerimeters.update,Editor (roles/editor),Basics Role
accesscontextmanager.servicePerimeters.update,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.servicePerimeters.update,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.servicePerimeters.update,SLZ BQDW Blueprint Organization Level Remediator (roles/securedlandingzone.bqdwOrgRemediator),Predefined Role
actions.agent.claimContentProvider,Owner (roles/owner),Basics Role
actions.agent.claimContentProvider,Editor (roles/editor),Basics Role
actions.agent.claimContentProvider,Actions Admin (roles/actions.Admin),Predefined Role
actions.agent.get,Owner (roles/owner),Basics Role
actions.agent.get,Editor (roles/editor),Basics Role
actions.agent.get,Viewer (roles/viewer),Basics Role
actions.agent.get,Actions Admin (roles/actions.Admin),Predefined Role
actions.agent.get,Actions Viewer (roles/actions.Viewer),Predefined Role
actions.agent.update,Owner (roles/owner),Basics Role
actions.agent.update,Editor (roles/editor),Basics Role
actions.agent.update,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.create,Owner (roles/owner),Basics Role
actions.agentVersions.create,Editor (roles/editor),Basics Role
actions.agentVersions.create,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.create,Dialogflow Console Agent Editor (roles/dialogflow.consoleAgentEditor),Predefined Role
actions.agentVersions.delete,Owner (roles/owner),Basics Role
actions.agentVersions.delete,Editor (roles/editor),Basics Role
actions.agentVersions.delete,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.deploy,Owner (roles/owner),Basics Role
actions.agentVersions.deploy,Editor (roles/editor),Basics Role
actions.agentVersions.deploy,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.get,Owner (roles/owner),Basics Role
actions.agentVersions.get,Editor (roles/editor),Basics Role
actions.agentVersions.get,Viewer (roles/viewer),Basics Role
actions.agentVersions.get,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.get,Actions Viewer (roles/actions.Viewer),Predefined Role
actions.agentVersions.list,Owner (roles/owner),Basics Role
actions.agentVersions.list,Editor (roles/editor),Basics Role
actions.agentVersions.list,Viewer (roles/viewer),Basics Role
actions.agentVersions.list,Actions Admin (roles/actions.Admin),Predefined Role
actions.agentVersions.list,Actions Viewer (roles/actions.Viewer),Predefined Role
actions.agentVersions.list,Security Admin (roles/iam.securityAdmin),Predefined Role
actions.agentVersions.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
advisorynotifications.notifications.get,Owner (roles/owner),Basics Role
advisorynotifications.notifications.get,Editor (roles/editor),Basics Role
advisorynotifications.notifications.get,Viewer (roles/viewer),Basics Role
advisorynotifications.notifications.get,Advisory Notifications Viewer (roles/advisorynotifications.viewer),Predefined Role
advisorynotifications.notifications.list,Owner (roles/owner),Basics Role
advisorynotifications.notifications.list,Editor (roles/editor),Basics Role
advisorynotifications.notifications.list,Viewer (roles/viewer),Basics Role
advisorynotifications.notifications.list,Advisory Notifications Viewer (roles/advisorynotifications.viewer),Predefined Role
advisorynotifications.notifications.list,Security Admin (roles/iam.securityAdmin),Predefined Role
advisorynotifications.notifications.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.annotationSpecs.create,Owner (roles/owner),Basics Role
aiplatform.annotationSpecs.create,Editor (roles/editor),Basics Role
aiplatform.annotationSpecs.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotationSpecs.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotationSpecs.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotationSpecs.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotationSpecs.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotationSpecs.delete,Owner (roles/owner),Basics Role
aiplatform.annotationSpecs.delete,Editor (roles/editor),Basics Role
aiplatform.annotationSpecs.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotationSpecs.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotationSpecs.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotationSpecs.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotationSpecs.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotationSpecs.get,Owner (roles/owner),Basics Role
aiplatform.annotationSpecs.get,Editor (roles/editor),Basics Role
aiplatform.annotationSpecs.get,Viewer (roles/viewer),Basics Role
aiplatform.annotationSpecs.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotationSpecs.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotationSpecs.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotationSpecs.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotationSpecs.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.annotationSpecs.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotationSpecs.list,Owner (roles/owner),Basics Role
aiplatform.annotationSpecs.list,Editor (roles/editor),Basics Role
aiplatform.annotationSpecs.list,Viewer (roles/viewer),Basics Role
aiplatform.annotationSpecs.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotationSpecs.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotationSpecs.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotationSpecs.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotationSpecs.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.annotationSpecs.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.annotationSpecs.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.annotationSpecs.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotationSpecs.update,Owner (roles/owner),Basics Role
aiplatform.annotationSpecs.update,Editor (roles/editor),Basics Role
aiplatform.annotationSpecs.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotationSpecs.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotationSpecs.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotationSpecs.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotationSpecs.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotations.create,Owner (roles/owner),Basics Role
aiplatform.annotations.create,Editor (roles/editor),Basics Role
aiplatform.annotations.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotations.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotations.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotations.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotations.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotations.delete,Owner (roles/owner),Basics Role
aiplatform.annotations.delete,Editor (roles/editor),Basics Role
aiplatform.annotations.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotations.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotations.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotations.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotations.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotations.get,Owner (roles/owner),Basics Role
aiplatform.annotations.get,Editor (roles/editor),Basics Role
aiplatform.annotations.get,Viewer (roles/viewer),Basics Role
